Date,timeRange1,timeRange2,timeRange3,Physical,Telephone,bar associatif, Doc. Associatives, infos touristiques,docs  infos  santé,activités  Pôle Santé,Activités  Pôle Culture,Autres activités,événements hors pôles,Activités des associations,Autres
23/02/2019,1,,,30,2,,2,,2,,,,1,27,
23/02/2019,,1,,15,4,3,7,,,,,1,,8,
23/02/2019,,,1,12,2,2,11,,1,,,,,,
24/02/2019,,,,,,,,,,,,,,,
25/02/2019,,1,,19,13,8,7,,5,,1,,2,7,2
25/02/2019,,,1,40,,2,,,,,,23,,15,
26/02/2019,,1,,7,4,1,7,,,,,,,4,
26/02/2019,,,1,39,1,,5,,,,1,2,,31,
27/02/2019,,1,,25,4,4,10,,,,,12,,5,
27/02/2019,,,1,26,1,1,2,,,2,,12,,9,1
28/02/2019,,1,,7,5,,7,,,,,,,5,
28/02/2019,,,1,24,4,3,,,,,,5,,12,8
01/03/2019,,1,,10,5,4,4,,,,2,,2,3,
01/03/2019,,,1,15,,,,,,,,15,,,
02/03/2019,1,,,17,3,1,7,,,,1,,,11,
02/03/2019,,1,,19,1,8,3,1,1,,,,1,6,
02/03/2019,,,1,18,2,2,4,,2,,8,,1,1,2
03/03/2019,,,,,,,,,,,,,,,
04/03/2019,,1,,22,8,5,3,,3,,1,4,4,8,4
04/03/2019,,,1,44,1,,2,,1,,,31,1,9,1
05/03/2019,,1,,6,6,,6,,,,,,,2,4
05/03/2019,,,1,29,1,1,5,,,,1,4,1,19,2
06/03/2019,,1,,24,8,7,14,,,,,10,,6,
06/03/2019,,,1,40,,3,1,,1,,3,8,2,23,
07/03/2019,,1,,21,2,1,15,3,,1,1,3,,,11
07/03/2019,,,1,10,8,,8,,,,1,,,7,2
08/03/2019,,1,,14,5,3,1,,1,,,9,,5,
08/03/2019,,,1,42,7,,,,3,,2,25,1,7,11
09/03/2019,1,,,17,3,,,,3,,,,17,,
09/03/2019,,1,,12,1,,3,1,,,,1,,8,
09/03/2019,,,1,31,4,5,5,2,1,,3,7,6,3,3
10/03/2019,,,,,,,,,,,,,,,
11/03/2019,,1,,30,3,,9,,2,,1,10,1,5,
11/03/2019,,,1,60,,2,2,,3,,1,24,,28,
12/03/2019,,1,,8,8,3,4,,,2,1,,,5,1
12/03/2019,,,1,79,,3,1,,,1,4,1,,79,
13/03/2019,,1,,7,4,,9,,,,,,,1,1
13/03/2019,,,1,28,2,,,2,,,,2,9,,7
14/03/2019,,1,,11,15,5,12,,,,,,,4,7
14/03/2019,,,1,16,1,,4,,,,,,,13,
15/03/2019,,1,,10,5,1,4,1,,2,,4,1,3,0
15/03/2019,,,1,24,,3,2,,,,1,13,,1,1
16/03/2019,,1,,42,1,9,5,,,,,4,1,19,1
16/03/2019,,,1,25,1,7,7,,2,,1,1,,5,
16/03/2019,1,,,17,3,,1,1,,,,1,17,,
17/03/2019,,,,,,,,,,,,,,,
18/03/2019,,1,,22,4,5,4,,5,,,5,,3,2
18/03/2019,,,1,22,3,1,3,,,4,,27,,1,
19/03/2019,,1,,6,12,,,,4,5,6,3,1,,
19/03/2019,,,1,87,3,,1,,,2,,,2,10,3
20/03/2019,,1,,12,8,10,6,,,3,,,,,1
20/03/2019,,,1,35,2,11,,,2,,1,,3,,
21/03/2019,,1,,21,3,3,3,1,2,,,,,4,8
21/03/2019,,,1,23,,,5,2,1,,,4,10,,1
22/03/2019,,1,,14,,7,4,1,,,,,,,2
22/03/2019,,,1,65,2,3,,,,,2,23,,39,
23/03/2019,1,,,19,2,,,,,2,,,6,13,
23/03/2019,,1,,24,3,4,9,1,1,,,3,,8,1
23/03/2019,,,1,13,,5,,2,,,,4,,2,
24/03/2019,,,,,,,,,,,,,,,
25/03/2019,,1,,28,6,5,4,,3,,1,1,1,16,1
25/03/2019,,,1,51,1,,1,,1,,,33,,,17
26/03/2019,,1,,17,,2,,,2,,,,,10,3
26/03/2019,,,1,16,4,,3,,,3,3,,,11,
27/03/2019,,1,,15,6,,8,,,3,4,7,1,3,1
27/03/2019,,,1,17,2,,2,,1,1,3,8,,1,3
28/03/2019,,1,,21,7,2,5,2,1,,,13,,3,5
28/03/2019,,,1,14,1,1,3,1,,,,,,10,
29/03/2019,,1,,26,3,7,2,,2,,1,11,1,4,1
29/03/2019,,,1,25,,4,1,,2,,4,9,,5,
30/03/2019,1,,,12,,4,,,,,,,,8,
30/03/2019,,1,,11,4,5,7,1,1,,,,,,1
30/03/2019,,,1,7,1,3,2,,,1,1,,1,,
31/03/2019,,,,,,,,,,,,,,,
01/04/2019,,1,,20,10,3,7,1,1,,2,4,6,7,1
01/04/2019,,,,,,,,,,,,,,,
02/04/2019,,1,,16,5,,19,,,,,,,,2
02/04/2019,,,1,19,1,1,,,,,3,1,,15,
03/04/2019,,1,,18,8,7,4,,1,,,1,,4,9
03/04/2019,,,1,20,2,6,1,,1,,5,4,,2,1
04/04/2019,,1,,31,4,1,8,1,3,1,1,,2,16,1
04/04/2019,,,1,26,2,,1,1,,,,3,,17,4
05/04/2019,,1,,12,3,2,9,,,1,1,,,,1
05/04/2019,,,1,49,1,,5,,1,,,37,,6,1
06/04/2019,1,,,14,,,,,,,,,4,10,
06/04/2019,,1,,5,2,,2,1,,,,,,2,2
06/04/2019,,,1,18,1,3,6,,1,1,,2,,6,
07/04/2019,,,,,,,,,,,,,,,
08/04/2019,,1,,26,8,5,5,1,,,,11,1,9,1
08/04/2019,,,1,50,,3,2,,1,,2,31,1,10,
09/04/2019,,1,,13,7,,14,,,,,,4,,3
09/04/2019,,,1,26,1,2,3,,,,,1,,22,
10/04/2019,,1,,18,5,9,6,,,,,6,,2,
10/04/2019,,,1,15,2,1,4,,,,,4,,8,
11/04/2019,,1,,16,6,2,12,2,1,1,,,1,,4
11/04/2019,,,1,24,2,,1,,1,,,4,,13,6
12/04/2019,,1,,3,6,,3,,,,1,,4,1,
12/04/2019,,,1,34,,,1,2,1,,,18,,12,
13/04/2019,1,,,52,,,2,,,,,,,50,
13/04/2019,,1,,14,,,,,,,,,,13,1
13/04/2019,,,1,16,2,3,5,,,4,,,,5,
14/04/2019,,,,,,,,,,,,,,,
15/04/2019,,1,,20,10,4,3,,4,,1,6,,11,
15/04/2019,,,1,40,,1,,,,,,34,1,4,
16/04/2019,,,,,,,,,,,,,,,
16/04/2019,,,1,16,4,6,1,,,,3,,3,7,
17/04/2019,,1,,38,,6,7,,2,,1,,1,18,3
17/04/2019,,,1,18,,6,1,,1,1,5,2,,1,1
18/04/2019,,1,,30,2,4,7,,1,3,,,1,7,5
18/04/2019,,,1,44,4,1,2,,3,,,2,,35,5
19/04/2019,,1,,7,2,3,,,1,,,1,3,,2
